,state/ut,literacy_group,percentage
0,INDIA,Literate,6.782787663266135
1,JAMMU & KASHMIR,Literate,15.655766841433211
2,HIMACHAL PRADESH,Literate,4.988970955635883
3,PUNJAB,Literate,27.719984523852176
4,CHANDIGARH,Literate,30.20626273153631
5,UTTARAKHAND,Literate,1.8148393879534719
6,HARYANA,Literate,4.5380538605623615
7,NCT OF DELHI,Literate,8.009588549304528
8,RAJASTHAN,Literate,1.4217596237825232
9,UTTAR PRADESH,Literate,1.2489929238154514
10,BIHAR,Literate,1.4432986640506043
11,SIKKIM,Literate,28.655190090684712
12,ARUNACHAL PRADESH,Literate,26.541362566460002
13,NAGALAND,Literate,25.813570064624653
14,MANIPUR,Literate,20.431200569789
15,MIZORAM,Literate,4.667947495730063
16,TRIPURA,Literate,5.220939939579473
17,MEGHALAYA,Literate,8.56486373436957
18,ASSAM,Literate,12.708844086069746
19,WEST BENGAL,Literate,3.0215779889404804
20,JHARKHAND,Literate,4.206612595911002
21,ODISHA,Literate,12.583012267196972
22,CHHATTISGARH,Literate,1.4217975527142126
23,MADHYA PRADESH,Literate,1.662872177132276
24,GUJARAT,Literate,13.85769801738897
25,DAMAN & DIU,Literate,13.961939921150107
26,DADRA & NAGAR HAVELI,Literate,18.64135067746262
27,MAHARASHTRA,Literate,16.775422373363497
28,ANDHRA PRADESH,Literate,7.152266997972838
29,KARNATAKA,Literate,11.967759155013193
30,GOA,Literate,49.01967371592923
31,LAKSHADWEEP,Literate,15.345958773440044
32,KERALA,Literate,9.476573727144903
33,TAMIL NADU,Literate,3.253356375168874
34,PUDUCHERRY,Literate,5.686512232431831
35,ANDAMAN & NICOBAR ISLANDS,Literate,18.727682149135138
